Name,SALARY,POS,Starting,Team,Opponent,,Away,Home,Projecte Points,HR Forecasts,Pojected Points with HR Forecast,Secondary Name,qAB,HH%,AB,H,2B,3B,HR,BB,BA,OBP,OPS,BVP Points,BWAR,roba,WHIP,K,,,,,,17.22820339
Ian Happ,"4,600.00",OF,YES,CHC,CWS,CHC,CHC,CWS,8,8,12,I. Happ,57%,19%,14,4,2,0,0,7,0.286,0.524,0.953,29.52,1,0.3,,,,,,,,
Nathaniel Lowe,"3,800.00",1B,YES,WAS,MIN,WAS,WAS,MIN,8,10,13,N. Lowe,,,,,,,,,,,,0,-0.1,0.303,,,,,,,,
Tyler O'Neill,"3,300.00",OF,YES,BAL,COL,#N/A,COL,BAL,7.9,10,12.9,T. O'Neill,40%,10%,10,4,1,0,0,0,0.4,0.4,0.9,17.2,-0.3,0.27,,,,,,,,
Christian Walker,"3,200.00",1B,YES,HOU,OAK,#N/A,OAK,HOU,7.9,8,11.9,C. Walker,,,,,,,,,,,,0,-0.6,0.298,,,,,,,,
Cam Smith,"3,500.00",OF,YES,HOU,OAK,#N/A,OAK,HOU,7.9,8,11.9,C. Smith,,,,,,,,,,,,0,2,0.323,,,,,,,,
Jacob Wilson,"3,800.00",SS,YES,OAK,HOU,Oak,Oak,HOU,7.9,8,11.9,J. Wilson,,,,,,,,,,,,0,2,0.356,,,,,,,,
Nick Castellanos,"4,500.00",OF,YES,PHI,NYY,Phi,Phi,NYY,7.9,10,12.9,N. Castellanos,100%,100%,2,0,0,0,0,0,0,0,0,4,-0.4,0.33,,,,,,,,
Francisco Lindor,"5,100.00",SS,EXP.,NYM,SF,NYM,NYM,SF,7.9,8,11.9,F. Lindor,20%,7%,14,3,1,0,0,0,0.214,0.2,0.486,19.17,1,0.3,,,,,,,,
Matt Olson,"5,200.00",1B,YES,ATL,TEX,Atl,Atl,TEX,7.9,10,12.9,M. Olson,38%,8%,11,2,1,0,0,1,0.182,0.231,0.504,16.38,4,0.368,,,,,,,,
Ramon Urias,"3,100.00",3B,YES,BAL,COL,#N/A,COL,BAL,7.8,10,12.8,R. Urias,,,,,,,,,,,,0,1,0.3,,,,,,,,
Ceddanne Rafaela,"4,200.00",2B/OF,YES,BOS,LAD,#N/A,LAD,BOS,7.8,10,12.8,C. Rafaela,,,,,,,,,,,,0,4.1,0.339,,,,,,,,
Nathan Lukes,"3,500.00",OF,YES,TOR,DET,Tor,Tor,DET,7.8,8,11.8,N. Lukes,,,,,,,,,,,,0,1.2,0.328,,,,,,,,
Victor Scott,"3,200.00",OF,YES,STL,SD,#N/A,SD,STL,7.8,10,12.8,V. Scott,,,,,,,,,,,,0,1,0.3,,,,,,,,
Marcus Semien,"4,100.00",2B,YES,TEX,ATL,#N/A,ATL,TEX,7.8,10,12.8,M. Semien,88%,38%,7,2,2,0,0,1,0.286,0.375,0.946,14.87,2.6,0.303,,,,,,,,
Colton Cowser,"4,300.00",OF,YES,BAL,COL,#N/A,COL,BAL,7.7,10,12.7,C. Cowser,,,,,,,,,,,,0,1.1,0.305,,,,,,,,
Andy Pages,"4,000.00",OF,YES,LAD,BOS,LAD,LAD,BOS,7.7,10,12.7,A. Pages,33%,33%,2,0,0,0,0,0,0,0,0,2.66,3.2,0.35,,,,,,,,
Spencer Steer,"3,500.00",1B,YES,CIN,TB,#N/A,TB,CIN,7.7,10,12.7,S. Steer,33%,33%,3,1,0,0,0,0,0.333,0.333,0.666,5.99,0.1,0.31,,,,,,,,
Shea Langeliers,"3,800.00",C,YES,OAK,HOU,Oak,Oak,HOU,7.7,8,11.7,S. Langeliers,,,,,,,,,,,,0,0.5,0.32,,,,,,,,
Vinnie Pasquantino,"3,900.00",1B,YES,KC,CLE,#N/A,CLE,KC,7.7,8,11.7,V. Pasquantino,0%,0%,2,0,0,0,0,0,0,0,0,2,1.6,0.337,,,,,,,,
Carlos Correa,"3,400.00",SS,YES,MIN,WAS,#N/A,WAS,MIN,7.7,10,12.7,C. Correa,,,,,,,,,,,,0,0.1,0.309,,,,,,,,
Paul Goldschmidt,"3,700.00",1B,YES,NYY,PHI,#N/A,PHI,NYY,7.7,10,12.7,P. Goldschmidt,38%,23%,13,5,3,0,1,0,0.385,0.385,1.231,24.61,1.7,0.34,,,,,,,,
Brendan Donovan,"4,000.00",2B,YES,STL,SD,#N/A,SD,STL,7.7,10,12.7,B. Donovan,40%,20%,5,0,0,0,0,0,0,0,0,5.6,2.5,0.349,,,,,,,,
Kyle Manzardo,"3,400.00",1B,YES,CLE,KC,Cle,Cle,KC,7.6,8,11.6,K. Manzardo,0%,0%,2,0,0,0,0,0,0,0,0,2,0.3,0.321,,,,,,,,
Harrison Bader,"3,300.00",OF,YES,MIN,WAS,#N/A,WAS,MIN,7.6,10,12.6,H. Bader,33%,11%,8,2,0,0,0,0,0.25,0.222,0.472,11.38,2.4,0.337,,,,,,,,
Anthony Volpe,"3,400.00",SS,YES,NYY,PHI,#N/A,PHI,NYY,7.6,10,12.6,A. Volpe,0%,0%,2,0,0,0,0,0,0,0,0,2,1.3,0.294,,,,,,,,
Brandon Nimmo,"4,600.00",OF,EXP.,NYM,SF,NYM,NYM,SF,7.6,8,11.6,B. Nimmo,24%,10%,17,1,0,0,1,2,0.059,0.2,0.435,22.03,2.8,0.353,,,,,,,,
Sam Haggerty,"4,100.00",OF,YES,TEX,ATL,#N/A,ATL,TEX,7.6,10,12.6,S. Haggerty,,,,,,,,,,,,0,1,0.3,,,,,,,,
Tyler Freeman,"4,300.00",OF,YES,COL,BAL,Col,Col,BAL,7.5,10,12.5,T. Freeman,,,,,,,,,,,,0,-0.1,0.371,,,,,,,,
Hunter Goodman,"4,600.00",C,YES,COL,BAL,Col,Col,BAL,7.5,10,12.5,H. Goodman,,,,,,,,,,,,0,1.8,0.363,,,,,,,,
Noelvi Marte,"4,300.00",3B,YES,CIN,TB,#N/A,TB,CIN,7.5,10,12.5,N. Marte,50%,0%,1,1,0,0,0,0,1,1,2,6.5,1,0.3,,,,,,,,
Tyler Soderstrom,"4,100.00",OF,YES,OAK,HOU,Oak,Oak,HOU,7.5,8,11.5,T. Soderstrom,,,,,,,,,,,,0,1.5,0.335,,,,,,,,
